Smiles,Generated One-Hot-encodings
c3ccc2cc1ccccc1cc2c3,000000111000000000000010000
CCCCCCCC(=O)OCCC,011000000001010001000000000
CCCCCCCCCCCCCC(O)=O,011000000001010001000000000
COc2cc(C=CC(=O)CC(=O)C=Cc1ccc(O)c(OC)c1)ccc2O,011000110001010001000010000
,000000000000000000000000000
,000000000000000000000000000
N#CCc1ccccc1,100000100000010010000010000
Oc1ccc(cc1)C3CC(=O)c2c(O)cc(O)cc2O3,011000111001010001000010000
OCC5OC(Oc3cccc4C(C1OC(CO)C(O)C(O)C1O)c2cc(CO)cc(O)c2C(=O)c34)C(O)C(O)C5O,011000111111010001000010000
Oc1ccc(cc1)C3CC(=O)c2c(O)cc(O)cc2O3,011000111001010001000010000
COc1ccc(cc1O)C5CC(=O)c4c(O)cc(OC3OC(COC2OC(C)C(O)C(O)C2O)C(O)C(O)C3O)cc4O5,011000111111010001000010000
 	COc1ccc(cc1O)C5CC(=O)c4c(O)cc(OC3OC(COC2OC(C)C(O)C(O)C2O)C(O)C(O)C3O)cc4O5,011000111111010001000010000
Oc2cc(O)c1c(=O)c(O)c(oc1c2)c3ccc(O)c(O)c3,011000111001000001000010001
OCC1OC(C(O)C(O)C1O)c4c(O)c(C2OC(CO)C(O)C(O)C2O)c3oc(cc(=O)c3c4O)c5ccc(O)c(O)c5,011000111111010001000010001
Oc2cc(O)c1c(=O)cc(oc1c2)c3ccc(O)c(O)c3,011000111001000001000010001
Oc1ccc(cc1)c3cc(=O)c2c(O)cc(O)cc2o3,011000111001000001000010001
COc2cc1oc(cc(=O)c1cc2OC)c3cc(OC)c(OC)c(OC)c3,011000111001010001000010001
CN(C)CCNCCN,011000000000010010000000000
CC3(C)Oc2ccc1ccc(=O)oc1c2C=C3,011000111001010001000010001
,000000000000000000000000000
,000000000000000000000000000
CC5CCC4(CCC2(C)C(=CCC3C1(C)CCC(O)C(C)(C)C1CCC23C)C4C5C)C(O)=O,011000111111010001000000000
CC(=O)Oc1ccccc1C(O)=O,011000100001010001000010000
OC(=O)C=Cc1ccc(O)cc1,011000100001010001000010000
CCOC(=O)c1ccccc1C(O)=O,011000100001010001000010000
COc1cc(C=CC(O)=O)cc(OC)c1O,011000100001010001000010000
c2cccc1ccccccc1cc2,000000110000000000000010000
COc1cc(cc(OC)c1O)C(O)=O,011000100001010001000010000
COc1cc(ccc1O)C(O)=O,011000100001010001000010000
,000000000000000000000000000
,000000000000000000000000000
,000000000000000000000000000
C21H22O4,000000110100010101000000000
CCC(CCC(C)C3CCC4C2CC=C1CC(CCC1(C)C2CCC34C)OC5OC(CO)C(O)C(O)C5O)C(C)C,011000111111010001000000000
COc1ccc(cc1OC)c3cc(=O)c2c(OC)c(OC)c(OC)c(OC)c2o3,011000111001010001000010001
COc1ccc(cc1OC)c3oc2c(OC)c(OC)c(OC)c(OC)c2c(=O)c3OC,011000111001010001000010001
COc3cc2C=Cc1c(O)cccc1Oc2c(O)c3C,011000111001010001000010000
,000000000000000000000000000
,000000000000000000000000000
,000000000000000000000000000
Clc1cccc(NN=C(C#N)C#N)c1,111000100001010010000010100
COc1cc(OC)cc(c1)N(CCNC(C)C)c3ccc2ncc(nc2c3)c4cnn(C)c4,011000111100010011000010010
CN(C)CCCN2c1ccccc1Sc3ccc(Cl)cc23,011000111000010010100010100
CC5CCC4(CCC2(C)C(=CCC3C1(C)CCC(O)C(C)(C)C1CCC23C)C4C5C)C(O)=O,011000111111010001000000000
,000000000000000000000000000
c2cc1nocc1o2,000000110000000000000010011
OC(=O)c1cc(O)c(O)c(O)c1,011000100001010001000010000
Oc2cc(O)c1c(=O)cc(oc1c2)c3ccc(O)c(O)c3,011000111001000001000010001
O=[Zn],000000000001000001011100010
Oc1ccc(cc1)C4Oc3ccc(C=Cc2cc(O)cc(O)c2)cc3C4c5cc(O)cc(O)c5,011000111111010001000010000
,000000000000000000000000000
CCCCCCCCCCCCCCCC(O)=O,011000000001010001000000000
O=c3cc(Oc1ccccc1)c2ccccc2[nH]3,011000111001000101001110010
Cc3cc(O)c2C(=O)c1ccccc1C(=O)c2c3,011000111001010001000010000
Oc1ccc(O)c2c(=O)cc(oc12)c3ccccc3,011000111001000001000010001
Oc1ccc(O)c2c(=O)cc(oc12)c3ccccc3,011000111001000001000010001
O=c1cc(oc2ccccc12)c3ccccc3,011000111001000001000010001
Oc1ccc(cc1)c3cc(=O)c2c(O)cc(O)cc2o3,011000111001000001000010001
CCOc1cccc(c1)C(=O)c2ccc(O)c(O)c2O,011000110001010001000010000
OCC(O)C1OC(=O)C(=C1O)O,011000100001010001000000000
CC(C)CCCC(C)CCCC(C)CCCC2(C)CCc1c(C)c(O)c(C)c(C)c1O2,011000110000010001000010000
,000000000000000000000000000
,000000000000000000000000000
,000000000000000000000000000
OC(=O)C(Cc1ccccc1)N3C(=S)SC(=Cc2cccc(F)c2)C3=O,011000111001011011100010000
,000000000000000000000000000
O=c2ccc1ccccc1o2,000000110001000001000010001
,000000000000000000000000000
C1CCCCC#CCCC1,100000100000010000000000000
C1CCCCC#CCCC1,100000100000010000000000000
CC(C)=CCCC(C)(O)C=C,011000000001010001000000000
CC(C)=CCCC(C)(O)C=C,011000000001010001000000000
,000000000000000000000000000
,000000000000000000000000000
,000000000000000000000000000
,000000000000000000000000000
,000000000000000000000000000
,000000000000000000000000000
,000000000000000000000000000
Cc1cc(O)ccc1O,011000100000010001000010000
COc1ccc(CO)cc1,011000100000010001000010000
CCCOCc1ccccc1,000000100000010001000010000
CCc1occc(=O)c1O,011000100001010001000010001
COc1cc(C=O)ccc1O,011000100001010001000010000
CCCOCc1ccccc1,000000100000010001000010000
CCCOCC(=O)c1ccccc1,011000100001010001000010000
CC1COC(=O)C2=C(C)CCC12,011000110001010001000000000
CCCc1ccc(cc1)C(O)=O,011000100001010001000010000
CCOc1ccc(OC)cc1,011000100000010001000010000
CCCc1ccc(cc1)C(O)=O,011000100001010001000010000
,000000000000000000000000000
,000000000000000000000000000
OC(=O)c4cn(C1CC1)c3cc(N2CCNCC2)c(F)cc3c4=O,011000111101011011000010010
CC(=O)NC2C(O)C(OC1OC(CO)C(O)C(O)C1N)C(CO)OC2OC3C(O)C(N)C(O)OC3CO,011000111001010011000000000
[N+](=O)([O-])[O-].[Ag+],011111000001100011001101000
,000000000000000000000000000
,000000000000000000000000000
CC(C)=CCCC(C)=CC(O)CC(C)=CCOc2ccc1ccc(=O)oc1c2,011000110001010001000010001
O=C(C(=O)c1ccco1)c2ccco2,011000110001010001000010001
Oc2cc1ccc(=O)oc1cc2O,011000110001000001000010001
Oc1cc2c(=O)oc3c(O)c(O)cc4c(=O)oc(c1O)c2c34,011000111101000001000010001
Oc2cc1ccc(=O)oc1cc2O,011000110001000001000010001
O=C1COC(=O)c2ccccc12,011000110001010001000010000
Cc2cc(=O)c1c(O)cc(O)cc1o2,011000110001010001000010001
O=C1COC(=O)c2ccccc12,011000110001010001000010000
,000000000000000000000000000
,000000000000000000000000000
,000000000000000000000000000
,000000000000000000000000000
,000000000000000000000000000
